GC100m;Year;Total population in cell
3609250N4483550E;2011;5-10
3609250N4483650E;2011;1-5
3609250N4483750E;2011;15-20
3609350N4482850E;2011;5-10
3609450N4484250E;2011;1-5
3609550N4483250E;2011;5-10
3609550N4483350E;2011;1-5
3609550N4484350E;2011;1-5
3609550N4484550E;2011;5-10
3609650N4484150E;2011;5-10
3609650N4484550E;2011;1-5
3609650N4485650E;2011;5-10
3609750N4483550E;2011;5-10
3609750N4483750E;2011;5-10
3609750N4485550E;2011;1-5
3609750N4485650E;2011;35
3609750N4485750E;2011;21
3609750N4485850E;2011;24
3609750N4485950E;2011;26
3609750N4486050E;2011;1-5
3609850N4483450E;2011;1-5
3609850N4483550E;2011;1-5
3609850N4483650E;2011;5-10
3609850N4485550E;2011;10-15
3609850N4485650E;2011;38
3609850N4485750E;2011;40
3609850N4485850E;2011;26
3609850N4485950E;2011;30
3609850N4486050E;2011;29
3609850N4486150E;2011;10-15
3609950N4483450E;2011;5-10
3609950N4483550E;2011;5-10
3609950N4483650E;2011;1-5
3609950N4484050E;2011;1-5
3609950N4485550E;2011;15-20
3609950N4485650E;2011;23
3609950N4485750E;2011;24
3609950N4485850E;2011;43
3609950N4485950E;2011;15-20
3609950N4486050E;2011;38
3609950N4486150E;2011;15-20
3609950N4486250E;2011;21
3610050N4483450E;2011;15-20
3610050N4483550E;2011;5-10
3610050N4484250E;2011;1-5
3610050N4484750E;2011;5-10
3610050N4484850E;2011;5-10
3610050N4485450E;2011;5-10
3610050N4485550E;2011;39
3610050N4485650E;2011;15-20
3610050N4485750E;2011;43
3610050N4485850E;2011;25
3610050N4485950E;2011;38
3610050N4486050E;2011;20
3610050N4486150E;2011;20
3610050N4486250E;2011;15-20
3610050N4486350E;2011;10-15
3610150N4483350E;2011;1-5
3610150N4483450E;2011;1-5
3610150N4483550E;2011;1-5
3610150N4484450E;2011;1-5
3610150N4485650E;2011;15-20
3610150N4485750E;2011;25
3610150N4485850E;2011;22
3610150N4485950E;2011;28
3610150N4486050E;2011;23
3610150N4486150E;2011;32
3610150N4486250E;2011;37
3610150N4486350E;2011;38
3610250N4483550E;2011;1-5
3610250N4483650E;2011;5-10
3610250N4485750E;2011;15-20
3610250N4485850E;2011;24
3610250N4485950E;2011;15-20
3610250N4486050E;2011;34
3610250N4486150E;2011;25
3610250N4486250E;2011;15-20
3610250N4486350E;2011;33
3610250N4486450E;2011;5-10
3610350N4484650E;2011;1-5
3610350N4485150E;2011;5-10
3610350N4485350E;2011;1-5
3610350N4485950E;2011;24
3610350N4486050E;2011;24
3610350N4486150E;2011;26
3610350N4486250E;2011;34
3610350N4486350E;2011;33
3610350N4486450E;2011;25
3610350N4486550E;2011;1-5
3610450N4484950E;2011;1-5
3610450N4485950E;2011;5-10
3610450N4486050E;2011;47
3610450N4486150E;2011;22
3610450N4486250E;2011;28
3610450N4486350E;2011;31
3610450N4486450E;2011;25
3610450N4486550E;2011;1-5
3610550N4485050E;2011;5-10
3610550N4486050E;2011;20
3610550N4486150E;2011;23
3610550N4486250E;2011;23
3610550N4486350E;2011;28
3610550N4486450E;2011;5-10
3610650N4485450E;2011;1-5
